"filename", "language", "TypeScript", "TypeScript React", "JavaScript", "JSON", "XML", "Markdown", "CSS", "HTML", "Log", "comment", "blank", "total"
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/set/[id]/learn.tsx", "TypeScript React", 0, 218, 0, 0, 0, 0, 0, 0, 0, 973, 14, 1205
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/set/add.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/temp.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/actions/authAction.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 108
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/actions/eventAction.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/actions/eventHandleAction.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/actions/learnAction.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/actions/searchAction.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/actions/userAction.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/alertReducer.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/authReducer.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/eventHandleReducer.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/eventReducer.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
